Priority,Company,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via
MEDIUM,Heady,Senior Front End Engineer,Mumbai India,On-site,,To Apply,,Apply,https://wellfound.com/jobs/1046027-senior-front-end-engineer-reactjs-typescript,,2026-06-04,NO,Not Needed,,Wellfound
MEDIUM,Postman,Senior Frontend Engineer Client Platform,Bangalore India,Hybrid,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/postman/jobs/7470753003,Note: 8yr preferred,2026-06-04,YES,Outreach Pending,2026-06-09,Greenhouse
MEDIUM,Razorpay,Senior Frontend Engineer,Bangalore India,On-site,,To Apply,,Apply + Referral,https://peerlist.io/company/razorpay/careers/senior-frontend-engineer/jobhkknrd8olpkgrg1jqamlmkakjdq,,2026-06-04,YES,Outreach Pending,2026-06-09,Peerlist
MEDIUM,BrowserStack,Senior Frontend Software Engineer,Mumbai India,On-site,,To Apply,,Apply + Referral,https://www.instahyre.com/job-110047-senior-frontend-software-engineer-at-browserstack-mumbai/,,2026-06-04,YES,Outreach Pending,2026-06-09,Instahyre
MEDIUM,Certa,Senior Frontend Engineer SDE 3,India,Remote,,To Apply,,Apply,https://wellfound.com/jobs/2864675-senior-frontend-engineer-sde-3,,2026-06-04,NO,Not Needed,,Wellfound
MEDIUM,SentinelOne,Senior Frontend Engineer,India,Remote,,To Apply,,Apply + Referral,https://peerlist.io/company/sentinelone/careers/senior-frontend-engineer/jobhok76lk7k9nlkrca6rlkrgddrnq,,2026-06-04,YES,Outreach Pending,2026-06-09,Peerlist
LOW,CoachHub,Senior Frontend Engineer,Remote,Remote,,To Apply,,Apply,https://peerlist.io/company/coachhub/careers/senior-frontend-engineer/jobhkknaopl69eamm1oapprbe7jdqr,,2026-06-04,YES,Outreach Pending,2026-06-09,Peerlist
LOW,Teemo.ai,Senior Software Engineer,Remote,Remote,,To Apply,,Apply,https://www.linkedin.com/jobs/view/4408892001,,2026-06-04,NO,Not Needed,,LinkedIn
LOW,FourKites,Senior Frontend Engineer I,Remote,Remote,,To Apply,,Apply,https://peerlist.io/company/fourkites/careers/senior-frontend-engineer--i/jobha9negkekj7bal2a869j9bmkdrm,,2026-06-04,YES,Outreach Pending,2026-06-09,Peerlist
LOW,Testbook,Senior Frontend Developer,India,On-site,,To Apply,,Apply + Referral,https://wellfound.com/jobs/1136752-senior-frontend-developer,,2026-06-04,YES,Outreach Pending,2026-06-09,Wellfound
LOW,Groww,Software Development Engineer II,India,On-site,,To Apply,,Apply + Referral,https://boards.greenhouse.io/groww/jobs/4528307101,,2026-06-04,YES,Outreach Pending,2026-06-09,Greenhouse
LOW,Postman,Senior Software Engineer Growth Frontend,India,Hybrid,,To Apply,,Apply + Referral,https://boards.greenhouse.io/postman/jobs/5080064003,,2026-06-04,YES,Outreach Pending,2026-06-09,Greenhouse
MEDIUM,Credit Karma,Senior Frontend Engineer,Bengaluru India,On-site,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/creditkarma/jobs/6293226003,Intuit-owned; React+TS+Performance+CI-CD,2026-06-04,YES,Outreach Pending,2026-06-09,Greenhouse
MEDIUM,Trivelta,Senior Frontend Software Engineer,Remote,Remote,,To Apply,,Apply,https://job-boards.greenhouse.io/trivelta/jobs/4170694009,React+TypeScript+NextJS; offices in Boston+Indore,2026-06-04,NO,Not Needed,,Greenhouse
MEDIUM,AlphaSense,Senior Software Engineer Frontend,India,Hybrid,,To Apply,,Apply + Referral,https://boards.greenhouse.io/alphasense/jobs/7518509002,Financial intelligence platform; 1300+ employees; React,2026-06-04,YES,Outreach Pending,2026-06-09,Greenhouse
HIGH,Tango,Senior Frontend Engineer,Limassol Cyprus,Hybrid,,To Apply,,Apply + Referral,https://startup.jobs/senior-frontend-developer-reactjs-tango-3-4809651,400M users B2C live-streaming; React+TypeScript+Redux; relocation pkg offered to Cyprus,2026-06-07,YES,Outreach Pending,2026-06-12,Startup.jobs
MEDIUM,Zepto,Founding Senior Frontend Engineer,India,On-site,,To Apply,,Apply + Referral,https://www.ycombinator.com/companies/zepto/jobs/D9YFcSm-founding-senior-frontend-engineer,B2C quick commerce unicorn; founding role; Note: React Native focus not React web,2026-06-07,YES,Outreach Pending,2026-06-12,YC Work at a Startup
MEDIUM,Blacklane,Senior Software Engineer Frontend,Remote,Remote,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/blacklane/jobs/8417891002,B2C premium transport; 1000+ employees; React+TypeScript,2026-06-07,YES,Outreach Pending,2026-06-12,Greenhouse
MEDIUM,Simpplr,Senior Software Engineer React.js,Gurugram India,On-site,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/simpplr/jobs/5600528004,Series C; Norwest/Salesforce-backed; B2B employee experience; React,2026-06-07,YES,Outreach Pending,2026-06-12,Greenhouse
MEDIUM,Veeva Systems,Senior Software Engineer React TypeScript,Remote,Remote,,To Apply,,Apply + Referral,https://jobs.lever.co/veeva/60bc3a35-8600-473f-9670-55485bf67286,Large public B2B pharma cloud; React+TypeScript; remote,2026-06-07,YES,Outreach Pending,2026-06-12,Lever
MEDIUM,Zepto,Software Development Engineer Frontend,Remote,Remote,,To Apply,,Apply + Referral,https://www.instahyre.com/job-210874-software-development-engineer-at-zepto-work-from-home/,B2C quick commerce unicorn; WFH; React frontend,2026-06-07,YES,Outreach Pending,2026-06-12,Instahyre
MEDIUM,Engine,Senior Software Engineer Frontend,Remote,Remote,,To Apply,,Apply,https://job-boards.greenhouse.io/engine/jobs/7723942003,Work travel platform; TypeScript+React; remote; funded; Small B2B yellow flag,2026-06-07,NO,Not Needed,,Greenhouse
LOW,Afresh,Senior Software Engineer Frontend,Remote,Remote,,To Apply,,Apply,https://job-boards.greenhouse.io/afresh/jobs/6002919004,$115M Series B; AI for fresh food supply chain; React; remote,2026-06-07,NO,Not Needed,,Greenhouse
LOW,HackerRank,Forward Deployed Engineer,Bangalore India,Hybrid,,To Apply,,Apply + Referral,https://www.linkedin.com/jobs/view/forward-deployed-engineer-at-hackerrank-4421581862,Developer tools platform; Bangalore; funded; not pure frontend role,2026-06-07,YES,Outreach Pending,2026-06-12,LinkedIn
HIGH,Zomato,Software Development Engineer II (Frontend),Bengaluru India,On-site,,To Apply,,Apply + Referral,https://startup.jobs/software-development-engineer-ii-frontend-zomato-1618283,B2C food delivery unicorn; React; Bengaluru; strong engineering culture,2026-06-08,YES,Outreach Pending,2026-06-13,Startup.jobs
HIGH,Swiggy,Frontend Engineer,Bangalore India,On-site,,To Apply,,Apply + Referral,https://www.instahyre.com/job-327864-frontend-engineer-at-swiggy-bangalore/,B2C food delivery unicorn; React; Bangalore,2026-06-08,YES,Outreach Pending,2026-06-13,Instahyre
HIGH,Paytm,Senior React JS Developer,Noida India,Hybrid,,To Apply,,Apply + Referral,https://jobs.lever.co/paytm/dda90a5e-d36b-4add-a456-90d26b939f71,B2C fintech leader India; React JS; Noida,2026-06-08,YES,Outreach Pending,2026-06-13,Lever
MEDIUM,Aircall,Senior Frontend Engineer,India,Remote,,To Apply,,Apply + Referral,https://jobs.lever.co/aircall/a74acee3-8f11-4d32-a879-baaf12875601,B2B cloud telephony; React+Redux+TypeScript; remote India; Series D,2026-06-08,YES,Outreach Pending,2026-06-13,Lever
MEDIUM,JetBrains,Senior Frontend Developer,Remote,Remote,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/jetbrains/jobs/4772554101,Large B2B dev tools; No Pressure AI product; React+TypeScript; verify India eligibility,2026-06-08,YES,Outreach Pending,2026-06-13,Greenhouse
LOW,SonicWall,Senior Frontend Engineer,Pune India,On-site,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/sonicwall/jobs/7895092,Public B2B cybersecurity; Pune on-site; React+TypeScript,2026-06-08,YES,Outreach Pending,2026-06-13,Greenhouse
