Priority,Company,Fund,Batch,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via,Company Size,Funding Stage,Research Status,Platforms Researched
HIGH,Cyble,YC,W21,Principal Software Engineer Front End,Bengaluru India,Hybrid,,To Apply,,Apply,https://www.ycombinator.com/companies/cyble/jobs/AzTColG-principal-software-engineer-front-end,Source: YC W21; Cybersecurity+darkweb intelligence platform; React+TypeScript+GenAI,2026-06-04,NO,Not Needed,,YC Work at a Startup,100-500,Series B,Not Started,
HIGH,Cignara,YC,P26,Founding Senior Frontend Engineer,Remote,Remote,Rs. 40-60L/yr,To Apply,,Apply,https://www.ycombinator.com/companies/cignara/jobs/Ncumgr9-founding-senior-frontend-engineer,Source: YC P26; AI agents for enterprise sales+support; Next.js+React+TypeScript+WebSockets; 4-person team,2026-06-04,NO,Not Needed,,YC Work at a Startup,1-10,Seed,Not Started,
HIGH,Flick,YC,F25,Senior/Staff Frontend Engineer,Remote,Remote,,To Apply,,Apply,https://www.ycombinator.com/companies/flick/jobs/Tdu6FH6-senior-frontend-engineer,Source: YC F25; AI-native filmmaking canvas+editor; React+TypeScript; founding role; verify India work eligibility,2026-06-04,NO,Not Needed,,YC Work at a Startup,1-10,Pre-seed,Not Started,
MEDIUM,Landeed,YC,,Senior/Staff Fullstack Engineer,India,Hybrid,,To Apply,,Apply,https://www.ycombinator.com/companies/landeed/jobs/1RGlF1W-senior-staff-fullstack-engineer-react-react-native-any-backend-india,Source: YC; Property/land records tech; React+React Native+TypeScript+FastAPI,2026-06-04,NO,Not Needed,,YC Work at a Startup,10-50,Seed,Not Started,
MEDIUM,Kodo,YC,S21,Frontend Engineer,Mumbai/Pune India,On-site,Rs. 2M-3.5M/yr,To Apply,,Apply,https://www.ycombinator.com/companies/kodo/jobs/te7cOYm-frontend-engineer-react,Source: YC S21; Corporate card+expense management for Indian startups; React.js+TypeScript+Micro-frontend; $14M raised,2026-06-04,NO,Not Needed,,YC Work at a Startup,10-50,Series A,Not Started,
HIGH,Bird,Accel,,Senior Frontend Engineer,Remote,Remote,,To Apply,,Apply,https://jobs.accel.com/companies/bird-2-4d8fc801-766a-4215-b4a3-94fefb39f01b/jobs/37103101-senior-frontend-engineer-react,Source: Accel; AI CRM platform (Email+SMS+WhatsApp channels); React focus; verify India hired-country eligibility,2026-06-04,YES,Outreach Pending,2026-06-09,Company Website,500+,Series D+,Not Started,
HIGH,Meesho,Accel/SoftBank,,SDE II Frontend,Bangalore India,On-site,,To Apply,,Apply + Referral,https://www.meesho.io/jobs/software-development-engineer---ii---frontend?id=c00ce584-30cc-4bfe-912b-0840294b1453,Source: Accel; B2C e-commerce unicorn; React; Series F; massive scale,2026-06-07,YES,Outreach Pending,2026-06-12,Company Website,5000+,Series F,Not Started,
HIGH,Qonto,a16z,,Senior Frontend Engineer,Remote Europe,Remote,,To Apply,,Apply + Referral,https://jobs.lever.co/qonto/8e9c22ba-f9d9-4021-8831-a008d3ac5292,Source: a16z; Business banking B2C+B2B; €486M Series D; 1500+ employees; React; remote-friendly,2026-06-07,YES,Outreach Pending,2026-06-12,Lever,1000-2000,Series D,Not Started,
MEDIUM,FurtherAI,YC,,Software Engineer Frontend,India,Remote,,To Apply,,Apply,https://www.workatastartup.com/jobs/81356,Source: YC; AI startup ex-Apple/Google founders; React+TypeScript; India role; seed stage,2026-06-07,NO,Not Needed,,YC Work at a Startup,1-20,Seed,Not Started,
MEDIUM,OkCredit,Accel/Tiger Global,,Senior Software Engineer Frontend,Bangalore India,On-site,,To Apply,,Apply + Referral,https://boards.greenhouse.io/okcredit/jobs/4527320003,Source: Accel; B2C fintech for SMBs; React+Redux+Webpack; $67M Series B,2026-06-07,YES,Outreach Pending,2026-06-12,Greenhouse,200-500,Series B,Not Started,
MEDIUM,VectorShift,YC,,Frontend Engineer,India,Remote,,To Apply,,Apply,https://www.workatastartup.com/jobs/81854,Source: YC; AI automation platform; React+NextJS; India role; early stage,2026-06-07,NO,Not Needed,,YC Work at a Startup,10-50,Seed,Not Started,
LOW,Explo,YC,,Senior Software Engineer,Remote,Remote,,To Apply,,Apply,https://www.workatastartup.com/jobs/43069,Source: YC; Developer analytics tools; React; remote,2026-06-07,NO,Not Needed,,YC Work at a Startup,10-50,Series A,Not Started,
HIGH,Ethos Life,Sequoia Capital,,Frontend Engineer,Bengaluru India,On-site,,To Apply,,Apply + Referral,https://job-boards.greenhouse.io/ethoslife/jobs/8006844002,Source: Sequoia; B2C life insurance tech; React+ES6; Bengaluru; US company with India engineering office; Sequoia+General Catalyst backed,2026-06-08,YES,Outreach Pending,2026-06-13,Greenhouse,500+,Series D,Not Started,
